region_id,total_GDP,world_share,absolute_GDP_per_capita
1,21278782551248,0.2116,39004.77606943541
2,27602540000000,0.27449999999999997,73963.17723001236
3,5672289212560,0.056299999999999996,8588.924928810347
4,1598972245892,0.015799999999999998,6777.747264446941
5,29464546127553,0.293,12221.24680934188
6,2006119005407,0.0195,1691.8737574464176
7,4731789691073,0.0471,2411.965804365689
8,3955010966006,0.0392,10266.942266472492
9,2240420000000,0.0223,15365.759982442423
