country_id,total_GDP,world_share,PPP_GDP_per_capita,absolute_GDP_per_capita,vsWorld_PPP_GDP_per_capita($20645)
111,10492123388,0.0001,4885.0,1054.0,0.23661903608621943
167,10375460680,0.0001,6424.0,2191.0,0.31116493097602327
90,8126439481,0.0001,2608.0,918.0,0.12632598692177283
124,6189865408,0.0001,24772.0,11818.0,1.1999031242431581
69,6095978868,0.0001,26984.0,9721.0,1.3070477113102446
31,5637914515,0.0001,17837.0,20019.0,0.8639864373940421
121,4943248200,0.0,14125.0,5317.0,0.684185032695568
46,4854167638,0.0,10782.0,4040.0,0.5222572051344151
39,4001047150,0.0,1725.0,755.0,0.0835553402760959
112,3970343852,0.0,1931.0,461.0,0.0935335432308065
52,3620655116,0.0,17620.0,5858.0,0.8534754177767013
147,3352032737,0.0,,,
95,3163324631,0.0,4828.0,2358.0,0.23385807701622668
35,3073414678,0.0,836.0,238.0,0.04049406635989344
89,2824081836,0.0,11451.0,6968.0,0.5546621457980141
82,2553459763,0.0,2695.0,1107.0,0.13054008234439332
150,2382618615,0.0,967.0,427.0,0.04683942843303463
37,2314816792,0.0,9083.0,3903.0,0.43996124969726325
119,2273060863,0.0,2510.0,840.0,0.12157907483652217
175,2065027556,0.0,17756.0,11481.0,0.8600629692419473
148,1757603704,0.0,25337.0,18745.0,1.2272705255509808
159,1633559092,0.0,2190.0,776.0,0.1060789537418261
181,1595710784,0.0,2654.0,2203.0,0.12855412932913537
180,1588406479,0.0,35228.0,14829.0,1.7063695810123516
158,1256413185,0.0,16987.0,10016.0,0.8228142407362558
114,1242519407,0.0,3832.0,1485.0,0.18561395010898524
108,983582865,0.0,3289.0,3010.0,0.15931218212642287
174,961563259,0.0,34052.0,20177.0,1.6494066359893436
176,948558503,0.0,17207.0,9125.0,0.8334705739888593
177,832421565,0.0,6041.0,3743.0,0.29261322354080893
154,612048148,0.0,13573.0,8415.0,0.6574473238072173
179,546680342,0.0,4738.0,2404.0,0.22949866795834342
194,427094119,0.0,3855.0,792.0,0.1867280213126665
166,279667900,0.0,7228.0,6728.0,0.35010898522644707
163,223352943,0.0,2365.0,1702.0,0.11455558246548801
189,60349391,0.0,5421.0,5335.0,0.26258173891983533
