country_id,intensity_depravation_perc,vulnerable_MP_pop,health_contribution,education_contribution,living_standard_contribution,under_national_poverty_line,under_PPP_$2.15_per_day,HDI,coefficient_human_inequality,richest_10percent_share,richest_1percent_share,gini_coefficient
62,36.21394691,2.776359938,33.11138749,36.77468896,30.11392057,26.5,0.523520833,0.759,9.136398122333333,21.5,15.39,25.2
33,40.5296765,3.508423116,64.09276128,13.59154433,22.31569588,43.9,3.100005218,0.758,17.59461132266667,35.5,28.42,45.4
57,42.54646521,6.210795506,49.76141155,22.90375084,27.33483613,,5.824560283,0.754,22.315800908666663,39.4,25.69,48.9
42,40.56181818,6.230287384,11.99488714,39.51151669,48.49359393,39.3,6.613518166,0.752,20.577433441,42.2,19.89,54.2
176,,,,,,,,0.751,,,,
124,34.37993933,4.843295733,80.6948781,15.13147503,4.173643515,5.4,0.0,0.747,19.766298611666667,23.3,13.26,29.3
144,39.17262668,3.607168078,31.21435642,49.30126667,19.48437989,5.5,0.455467529,0.745,19.07287475,22.9,9.91,27.6
97,,,,,,,,0.745,7.915732963333333,,14.31,
186,38.1445669,6.402399173,38.21171224,40.70324898,21.08503878,,1.791017844,0.745,10.432029661,29.7,,37.6
188,34.0478355,0.341083248,82.40442276,15.49704969,2.09852457,,,0.745,16.372041066666668,,19.87,
50,37.95600953,5.930467679,33.88587534,27.32989788,38.78422976,33.0,3.583180196,0.74,17.764877842666667,36.0,13.67,47.3
80,38.75045735,15.50456094,21.09321654,26.79649889,52.11028457,27.8,0.711585582,0.739,12.725367453333334,25.7,16.54,32.7
134,37.57057517,6.089783802,40.01786113,53.08004618,6.902092695,32.5,1.46701472,0.731,28.03942983,26.9,19.93,31.5
128,36.48734391,2.387854005,24.41487759,61.56821847,14.01690245,15.2,0.140061547,0.731,19.18297336033333,25.6,10.91,32.8
121,38.09685693,7.387158445,38.00645769,17.40000993,44.59353089,24.1,1.318268883,0.73,,24.2,,30.7
52,39.36052165,4.023277322,20.36750317,43.81999671,35.8125031,,,0.73,25.34968467333333,,20.75,
190,35.29127921,0.239065419,94.45204139,0.0,5.547959358,14.1,,0.727,,,16.92,
154,,,,,,,,0.72,,,,
126,35.38750027,0.694640722,37.50389218,53.49046588,9.005643427,15.7,,0.72,14.205103180333332,27.5,17.51,33.7
164,37.13482323,11.36298327,38.99509013,48.56853783,12.43637353,,,0.718,,,13.56,
91,41.8787993,7.181459241,14.27110136,38.94542456,46.78347707,26.9,0.689179121,0.717,18.32046414333333,33.3,20.75,43.5
195,34.97258082,1.251757341,62.90646195,31.00380301,6.089733914,29.2,0.502717341,0.715,17.621487113333334,25.2,17.93,33.7
175,37.4876122,1.643413739,69.47531104,7.526096702,22.99859524,25.0,5.122804971,0.715,21.32341214733333,38.6,,51.2
160,39.28849887,6.49898573,30.35699427,22.40253687,47.24046588,,,0.714,17.094938996666666,,20.75,
20,39.78122658,12.16881286,39.46487308,13.10580671,47.42931724,55.5,20.49255721,0.713,31.051126910000004,50.5,21.93,63.0
24,38.94671236,5.002643273,52.21921802,20.89049369,26.89029276,19.9,,0.709,15.735666021666663,,20.75,
177,39.11981379,12.85492447,36.89502478,31.17715418,31.92782402,20.3,1.150477021,0.707,13.106588153333334,31.3,,38.7
157,44.67207686,18.41128102,32.6500088,21.38536721,45.9646225,33.4,2.468641956,0.706,21.463307383333333,27.7,11.02,38.0
132,,,,,,,,0.706,,24.8,21.04,31.8
88,38.71434554,4.743880507,34.74209309,26.76778734,38.49012256,9.8,3.5,0.705,16.867443086666665,29.6,18.28,37.3
72,40.2757136,3.472531125,22.85792083,40.74057937,36.40149832,6.7,0.654621488,0.703,14.328679066666666,27.5,16.16,35.7
16,41.83819567,7.259594917,20.30709833,31.02112114,48.67178202,16.7,3.0,0.699,17.523781663333335,33.5,16.88,42.3
64,42.18447749,19.67775231,30.2904129,16.49296284,53.21662426,,15.42624203,0.693,,41.5,22.74,53.3
55,41.67038043,12.13020218,18.65875274,31.4917177,49.84952807,36.4,1.964501138,0.692,20.47608422333333,32.6,20.75,43.6
83,36.28122528,5.238376593,64.60405588,17.85385162,17.54209399,25.3,1.330973602,0.692,9.226713036666666,24.0,18.43,29.0
191,,,,,,,,0.691,14.161839976666668,,20.75,
162,37.86072503,5.243731567,33.07199478,60.92340946,6.004591286,18.9,0.088752467,0.686,18.802291553333333,23.7,20.72,29.5
111,38.96233319,20.08650818,47.75847495,26.46513283,25.77639222,26.3,6.114529141,0.685,12.34022282,26.4,14.9,34.0
89,39.75521941,8.364767289,39.4982487,20.9413141,39.5604372,,,0.683,20.66224130233333,,20.75,
136,41.97795611,10.86422376,24.37269539,46.82758451,28.79971862,4.8,1.443110115,0.683,25.097691306666665,31.9,15.14,39.5
68,41.29624976,9.890735434,15.49379677,43.39380562,41.11239612,26.2,3.586185999,0.675,18.608111709333333,29.8,14.46,38.8
7,45.25758651,13.36017342,11.46014854,36.23432517,52.3055315,24.9,3.941028657,0.667,22.12122875533333,37.2,20.75,46.2
103,,,,,,,,0.666,27.70138498,27.9,14.17,37.4
37,,,,,,,,0.662,,32.3,13.91,42.4
59,42.23126849,18.20632007,17.27838814,37.63383031,45.08778453,24.3,13.46830297,0.661,23.137189393333333,26.8,16.33,32.4
189,38.2352969,12.19446403,36.45448983,43.58974099,19.95576918,,,0.641,15.498798143333332,30.8,,39.1
166,,,,,,,,0.639,,27.5,,35.5
127,41.97607433,18.68689925,32.1588695,28.17035615,39.67077732,21.9,10.0,0.633,24.393810273333333,30.1,21.73,35.7
100,45.14261851,20.09693022,23.56073558,30.50448,45.93478441,23.4,25.20855355,0.632,27.33194806333333,32.2,15.23,43.5
194,,,,,,,,0.628,,29.7,,40.1
117,46.22900582,21.08764586,26.32501423,35.00198424,38.67300153,59.3,9.521302731,0.627,26.126513556666666,38.1,20.75,48.3
163,40.47824089,30.21835665,30.257833,12.10086495,57.64130354,21.9,1.67807681,0.624,17.154097046666667,22.9,,27.8
53,42.71774605,14.79180583,18.80283654,39.20437396,41.99279249,48.0,12.74299174,0.621,22.2190672,34.6,20.75,48.2
179,40.91726093,16.96788901,18.73670518,36.61587238,44.64742243,66.7,15.55189948,0.618,18.424810673333333,32.9,8.95,40.7
8,45.18834812,19.21842898,31.64484501,13.91758174,54.43757772,17.4,15.61701367,0.615,32.839454753333335,47.3,21.57,59.1
54,46.95372171,21.18138688,21.49089873,39.66720998,38.84188831,18.3,7.138362829,0.607,24.176819976666668,31.2,20.14,38.8
95,45.90616721,26.82779499,29.29225862,23.14953804,47.55820334,41.8,24.44307717,0.607,26.242573763333336,24.0,15.66,28.7
108,,,,,,,,0.607,,24.7,,32.3
116,42.50249707,17.84435279,23.1621325,33.87447894,42.96338856,,,0.602,24.319128766666665,26.4,13.89,32.8
