country_id,life_expectancy,income_group,population_(millions),cropland_footprint,grazing_footprint,forest_product_footprint,carbon_footprint,fish_footprint,total_ecological_footprint_(consumption),cropland,grazing_land,forest_land,fishing_ground,built_up_land,total_biocapacity,ecological_(deficit)_or_reserve,number_of_earths_required,number_of_countries_required,official_country_overshoot_day,official_country_ecological_deficit_day
146,61,LI,40.754,0.417298949494252,0.149562497804091,0.0551413816892243,0.150523778220389,0.000705743220353972,0.801464623544158,0.327735197277045,0.144313105741235,0.0129812815677761,0.000565166638162917,0.0282322731158477,0.513827024340068,-0.28763759920409,0.530695581541261,1.55979461098511,,2024-08-22
17,76,UM,2.866,0.803377520356975,0.205493521625604,0.205567377937326,0.741157678687535,0.0426366747053153,2.07123836003621,0.600881218588158,0.198147449093258,0.223326157370729,0.0813919037274991,0.0730055867234502,1.1767523155031,-0.894486044533109,1.37148542019137,1.76013111064131,2024-09-23,2024-07-26
144,76,UM,45.35,0.686808813854469,0.158904171413871,0.136541196330814,1.17948096171664,0.0234581146727597,2.22296846582934,0.357129254638535,0.237379646471771,0.0239117067102732,0.00717915373605038,0.0377752078407872,0.663374969397417,-1.55959349643192,1.47195460418994,3.35099840720338,2024-09-04,2024-04-19
118,61,LM,35.027,0.231260018987365,0.11259431151592,0.0810482192016291,0.290260379197926,0.0813228797018215,0.857845606418388,0.151753225312141,0.804691615008335,0.416887822431136,0.153498781230456,0.0613597978137269,1.58819124179579,0.730345635377401,0.568028656034297,0.540139993120985,,
148,78,HI,0.1,,,,,,2.93673514198485,,,,,,0.917277481979192,-2.01945766000565,1.94458035729189,3.20157771195725,2024-07-06,2024-04-24
36,75,UM,46.01,0.91159666852039,0.500388665766509,0.245366319868637,1.37615106583665,0.103598492206534,3.22061837899519,1.84898292431358,1.17987526481225,0.591673396612381,1.52761454869841,0.0835171667964717,5.23166330123309,2.0110449222379,2.13255569036249,0.615601233022029,2024-06-20,
62,72,LM,2.972,0.675063712812391,0.244298027281511,0.280003989951336,1.0744385510378,0.000408761357851777,2.32639496840043,0.396409342017659,0.282980757058657,0.0981998969721463,0.0168526238192503,0.0521819259595382,0.84662454582725,-1.47977042257318,1.54043920889529,2.74784729531704,2024-08-24,2024-05-13
25,83,HI,26.069,0.0519547788075292,0.473820400844988,0.852969507402654,4.25648164094325,0.117225133365728,5.77703809058358,1.81173083089979,4.49558799582835,1.86199177008945,2.8275033603299,0.0245866292194383,11.0214005863669,5.24436249578332,3.82530744215605,0.524165512841406,2024-04-05,
47,81,HI,9.067,0.999800389658242,0.259334090973881,0.972035182066151,3.15679292519421,0.0442653697741421,5.62664054258896,0.605340398000272,0.136152857225158,1.95225979940179,0.00560896083221166,0.194412584922329,2.89377460038176,-2.73286594220719,3.72572062091567,1.9443948888924,2024-04-07,2024-07-07
97,69,UM,10.3,0.776144949484353,0.212175949222445,0.122316280418985,1.19284994404857,0.00825836579439824,2.35708896491812,0.605535214668512,0.168165173028627,0.103819225706864,0.0140915321078586,0.0453434759493697,0.936954621461231,-1.42013434345688,1.560763460089,2.51569170046049,2024-08-21,2024-05-25
113,78,HI,1.784,0.542087791385563,0.375536714372649,0.15686393894452,6.78539745346806,0.187537800326019,8.17620144441342,0.00713880789580815,0.0,0.000850806082463394,0.418958756995214,0.128777745916614,0.555726116890099,-7.62047532752332,5.41393076235062,14.7126456646815,2024-03-08,2024-01-25
59,72,LI,167.886,0.234245257689283,0.00504012331614984,0.0735115573716067,0.256073519255563,0.0364948068493631,0.670724904077056,0.12569658560974,0.0030516883280524,0.00482966643977568,0.048880731852325,0.0653596395950902,0.247818311824983,-0.422906592252072,0.444125333254672,2.70651873599535,,2024-05-15
31,77,HI,0.288,0.550603459460326,0.272513773021468,0.150025215731735,1.8280316205855,0.390040901305575,3.31413575853783,0.0708106193552674,0.00325726661408336,0.0185804068075588,0.0443419102545252,0.122920788433231,0.259910991464666,-3.05422476707316,2.19447889777884,12.7510411924552,2024-06-15,2024-01-29
41,72,UM,9.433,1.50006257636208,0.10867566229977,1.05989208782965,1.80305068210234,0.0523479228531012,4.57825295179807,1.71378385968377,0.244872749141041,1.67170709908687,0.0179354932274453,0.0542240203511302,3.70252322149026,-0.875729730307809,3.03152321552668,1.23652241401887,2024-04-30,2024-10-22
10,81,HI,11.668,1.36736514404342,0.402319600226267,0.761463534008892,3.61080618431566,0.135094260130334,6.6896486456847,0.372753455263784,0.051278920220883,0.282650719160261,0.0420040595207607,0.412599922960137,1.16128707712583,-5.52836156855887,4.42959910398684,5.76054687721273,2024-03-23,2024-03-04
89,70,UM,0.412,0.178534043146154,0.262491795415154,0.290854541697082,1.70636360333513,5.08998616274897,7.53037631583484,0.464187087682526,0.185857496849819,1.75545055171652,0.895603799189447,0.00214616949235542,3.30324510493067,-4.22713121090417,4.98629299504736,2.27969044882392,2024-03-14,2024-06-09
138,59,LI,12.785,0.375547875076213,0.0308543255463256,0.207895005668398,0.305832341987844,0.151120952224443,1.11059011166006,0.373157356753103,0.0279882483985747,0.175877749794868,0.0171007181129132,0.039339611156838,0.633463684216297,-0.477126427443763,0.735385253256829,1.75320249500024,,2024-07-27
103,71,LM,0.788,0.620974354103454,0.322578637388737,2.7564223311811,0.813750991660803,0.0268406958142617,4.7205674888156,0.313163017857008,0.33166972303763,4.03619409597372,0.011788611182122,0.180000478667251,4.87281592671773,0.152248437902129,3.12575781274485,0.96875555321773,2024-04-26,
