country_id,score_av,score_ec,score_pol,score_ed,score_h
131,0.637,0.521,0.077,0.986,0.964
132,0.6285,0.538,0.021,0.984,0.971
133,0.627,0.508,0.071,0.982,0.947
134,0.6265,0.42,0.175,0.943,0.968
135,0.622,0.57,0.185,0.769,0.964
136,0.62075,0.404,0.165,0.953,0.961
137,0.61725,0.576,0.217,0.71,0.966
138,0.616,0.53,0.159,0.802,0.973
139,0.61425,0.488,0.051,0.957,0.961
140,0.6115,0.676,0.111,0.683,0.976
141,0.60475,0.489,0.192,0.779,0.959
142,0.575,0.362,0.152,0.825,0.961
143,0.57475,0.344,0.031,0.96,0.964
144,0.57275,0.317,0.065,0.951,0.958
145,0.5705,0.538,0.137,0.637,0.97
146,0.4054999999999999,0.188,0.0,0.482,0.952
